"doc_id","text","ent_type","start_id","length","id"
"text1","New Mexico","GPE",6,2,"45881269"
"text1","Summit County","GPE",12,2,"45880929"
"text1","New Mexico","GPE",6,2,"45876630"
"text1","New Mexico","GPE",6,2,"45876628"
"text1","New Mexico","GPE",6,2,"45876627"
"text1","New Mexico","GPE",6,2,"45876626"
"text1","New Mexico","GPE",6,2,"45876629"
"text1","New Mexico","GPE",6,2,"45876624"
"text1","Texas","GPE",2,1,"45863122"
"text1","Colorado","GPE",4,1,"45863122"
"text1","South Georgia","GPE",2,2,"45851937"
"text1","Texas","GPE",8,1,"45830574"
"text1","NM","GPE",7,1,"45829886"
"text1","Texas","GPE",6,1,"45829302"
"text1","Texas","GPE",8,1,"45827862"
"text1","Roswell","GPE",5,1,"45776983"
"text1","NM","GPE",7,1,"45776983"
"text1","Texas","GPE",2,1,"45773250"
"text1","Tijuana","GPE",5,1,"45765521"
"text1","Mexico","GPE",7,1,"45765521"
"text1","Texas","GPE",5,1,"45716608"
"text1","Texas","GPE",5,1,"45716242"
"text1","Colorado","GPE",11,1,"45563892"
"text1","Merlin","GPE",18,1,"45563105"
"text1","Texas","GPE",2,1,"45465166"
"text1","Texas","GPE",6,1,"45453700"
"text1","Texas","GPE",18,1,"45410854"
"text1","Texas","GPE",2,1,"45362623"
"text1","Texas","GPE",2,1,"45325714"
"text1","New Mexico","GPE",2,2,"45278717"
"text1","Texas","GPE",4,1,"45121510"
"text1","Texas","GPE",6,1,"45079773"
"text1","San Antonio","GPE",5,2,"45031789"
"text1","New Mexico","GPE",6,2,"44953336"
"text1","San Antonio","GPE",5,2,"44951979"
"text1","San Antonio","GPE",5,2,"44888299"
"text1","San Antonio","GPE",5,2,"44888248"
"text1","San Antonio","GPE",5,2,"44888250"
"text1","San Antonio","GPE",5,2,"44846229"
"text1","Glaucoma","GPE",2,1,"44841307"
"text1","Alabama","GPE",2,1,"44740613"
"text1","Alabama","GPE",2,1,"44739540"
"text1","Texas","GPE",5,1,"44714874"
"text1","NM","GPE",7,1,"44552192"
"text1","San Antonio","GPE",5,2,"44487101"
"text1","San Antonio","GPE",5,2,"44487075"
"text1","San Antonio","GPE",5,2,"44486838"
"text1","Texas","GPE",2,1,"44482621"
"text1","Colorado","GPE",9,1,"44482621"
"text1","Texas","GPE",2,1,"44451088"
"text1","Pumpkin","GPE",3,1,"44059775"
"text1","Texas","GPE",2,1,"43970972"
"text1","Colorado","GPE",13,1,"43970972"
"text1","Afghanistan","GPE",2,1,"43877389"
"text1","Kansas","GPE",3,1,"43577332"
"text1","Texas","GPE",2,1,"42974623"
"text1","Colorado","GPE",26,1,"42974623"
"text1","Texas","GPE",11,1,"42031223"
"text1","Denver","GPE",6,1,"41179812"
"text1","Montrose","GPE",2,1,"40632554"
"text1","Montrose","GPE",2,1,"40580233"
"text1","Thailand","GPE",2,1,"40110952"
"text1","US","GPE",26,1,"40110952"
"text1","Canon City","GPE",2,2,"40036107"
"text1","Colorado","GPE",4,1,"40036107"
"text1","Ho-Bo Care Boxer","GPE",2,5,"39123444"
"text1","Ho-Bo Care Boxer","GPE",2,5,"36065553"
"text1","Ho-Bo Care Boxer","GPE",2,5,"30176972"
"text1","LA","GPE",11,1,"46041199"
"text1","West Virginia","GPE",2,2,"46039686"
"text1","North Carolina","GPE",7,2,"46039435"
"text1","Texas","GPE",7,1,"46039263"
"text1","Texas","GPE",7,1,"46039255"
"text1","Texas","GPE",7,1,"46039257"
"text1","Texas","GPE",7,1,"46039259"
"text1","Texas","GPE",7,1,"46039256"
"text1","Texas","GPE",7,1,"46039253"
"text1","Texas","GPE",7,1,"46039258"
"text1","Texas","GPE",7,1,"46039262"
"text1","North Carolina","GPE",5,2,"46037557"
"text1","North Carolina","GPE",6,2,"46037432"
"text1","Puerto Rico","GPE",2,2,"46037316"
"text1","Puerto Rico","GPE",2,2,"46037130"
"text1","Sat","GPE",4,1,"46036775"
"text1","Sat","GPE",4,1,"46036746"
"text1","South Carolina","GPE",2,2,"46036656"
"text1","Utah","GPE",9,1,"46036227"
"text1","Texas","GPE",2,1,"46033569"
"text1","North Carolina","GPE",7,2,"46030817"
"text1","Thailand","GPE",5,1,"46030370"
"text1","Tennessee","GPE",2,1,"46030402"
"text1","Tennessee","GPE",2,1,"46030006"
"text1","Dallas","GPE",3,1,"46028689"
"text1","Dallas","GPE",2,1,"46028685"
"text1","Alabama","GPE",2,1,"46026256"
"text1","Tennessee","GPE",6,1,"46025364"
"text1","Tennessee","GPE",2,1,"46025365"
"text1","South Carolina","GPE",2,2,"46024028"
"text1","South Carolina","GPE",2,2,"46024024"
"text1","South Carolina","GPE",2,2,"46024025"
"text1","South Carolina","GPE",2,2,"46024027"
"text1","LA","GPE",11,1,"46023826"
"text1","LA","GPE",11,1,"46023760"
"text1","South Carolina","GPE",2,2,"46022599"
"text1","South Carolina","GPE",2,2,"46022592"
"text1","South Carolina","GPE",2,2,"46022593"
"text1","South Carolina","GPE",2,2,"46022594"
"text1","South Carolina","GPE",2,2,"46022595"
"text1","South Carolina","GPE",2,2,"46022598"
"text1","South Carolina","GPE",2,2,"46022597"
"text1","Mississippi","GPE",4,1,"46021946"
"text1","Mississippi","GPE",4,1,"46021551"
"text1","the United States","GPE",6,3,"46021404"
"text1","South Carolina","GPE",2,2,"46020830"
"text1","Louisiana","GPE",7,1,"46018467"
"text1","North Carolina","GPE",7,2,"46018243"
"text1","Texarkana","GPE",19,1,"46017957"
"text1","Texarkana","GPE",19,1,"46017954"
"text1","Kentucky","GPE",2,1,"46017102"
"text1","Kentucky","GPE",2,1,"46017103"
"text1","Kentucky","GPE",2,1,"46017104"
"text1","Kentucky","GPE",2,1,"46017105"
"text1","Alabama","GPE",3,1,"46016066"
"text1","Alabama","GPE",3,1,"46016034"
"text1","North Carolina","GPE",2,2,"46010451"
"text1","the United States","GPE",6,3,"46009533"
"text1","Texas","GPE",2,1,"46008347"
"text1","South Carolina","GPE",2,2,"46006040"
"text1","Lancaster","GPE",7,1,"46005573"
"text1","Parvo","GPE",2,1,"46005374"
"text1","the United States","GPE",6,3,"46004438"
"text1","the United States","GPE",6,3,"46004437"
"text1","the United States","GPE",6,3,"46004436"
"text1","Edinburg","GPE",9,1,"45991566"
"text1","Paris","GPE",2,1,"45991565"
"text1","Texas","GPE",3,1,"45991565"
"text1","Florida","GPE",2,1,"45990171"
"text1","Florida","GPE",2,1,"45990156"
"text1","Georgia","GPE",2,1,"45988360"
"text1","Georgia","GPE",2,1,"45988332"
"text1","Georgia","GPE",2,1,"45988288"
"text1","Georgia","GPE",2,1,"45988223"
"text1","Georgia","GPE",2,1,"45988216"
"text1","Georgia","GPE",2,1,"45988200"
"text1","Georgia","GPE",2,1,"45988186"
"text1","Georgia","GPE",2,1,"45988178"
"text1","Georgia","GPE",2,1,"45988152"
"text1","Georgia","GPE",2,1,"45988129"
"text1","Georgia","GPE",2,1,"45988082"
"text1","Alabama","GPE",2,1,"45985897"
"text1","Alabama","GPE",2,1,"45985898"
"text1","Alabama","GPE",2,1,"45985546"
"text1","Louisiana","GPE",2,1,"45985257"
"text1","the United States","GPE",6,3,"45985121"
"text1","Sat","GPE",4,1,"45982945"
"text1","Chesterfield","GPE",2,1,"45983005"
"text1","Sat","GPE",4,1,"45982900"
"text1","Georgia","GPE",2,1,"45982414"
"text1","Georgia","GPE",2,1,"45982397"
"text1","Georgia","GPE",2,1,"45982374"
"text1","Texas","GPE",2,1,"45980874"
"text1","Texas","GPE",8,1,"45980090"
"text1","Bahamas","GPE",3,1,"45979761"
"text1","LA","GPE",11,1,"45979261"
"text1","LA","GPE",11,1,"45978941"
"text1","LA","GPE",11,1,"45978932"
"text1","Texas","GPE",2,1,"45976699"
"text1","Texas","GPE",2,1,"45976521"
"text1","Texas","GPE",7,1,"45976310"
"text1","Texas","GPE",7,1,"45975747"
"text1","Texas","GPE",7,1,"45974514"
"text1","MA","GPE",12,1,"45974127"
"text1","Central","GPE",7,1,"45971987"
"text1","Tennessee","GPE",5,1,"45966920"
"text1","the United States","GPE",6,3,"45965794"
"text1","the United States","GPE",6,3,"45965797"
"text1","the United States","GPE",6,3,"45965795"
"text1","Texas","GPE",7,1,"45965461"
"text1","Texas","GPE",7,1,"45965463"
"text1","Bahamas","GPE",5,1,"45965460"
"text1","South Carolina","GPE",2,2,"45965454"
"text1","South Carolina","GPE",2,2,"45965455"
"text1","Bahamas","GPE",5,1,"45965457"
"text1","Bahamas","GPE",5,1,"45965452"
"text1","Bahamas","GPE",5,1,"45965450"
"text1","South Carolina","GPE",2,2,"45965453"
"text1","South Carolina","GPE",2,2,"45965458"
"text1","Clarke County","GPE",2,2,"45963904"
"text1","Alabama","GPE",5,1,"45963904"
"text1","the United States","GPE",6,3,"45961038"
"text1","North Carolina","GPE",6,2,"45960926"
"text1","Connecticut","GPE",16,1,"45960926"
"text1","North Carolina","GPE",6,2,"45960901"
"text1","Connecticut","GPE",16,1,"45960901"
"text1","North Carolina","GPE",6,2,"45960816"
"text1","Connecticut","GPE",16,1,"45960816"
"text1","Texas","GPE",2,1,"45957784"
"text1","Texas","GPE",2,1,"45957783"
"text1","the United States","GPE",6,3,"45957282"
"text1","the United States","GPE",6,3,"45956801"
"text1","North Carolina","GPE",7,2,"45956484"
"text1","South Carolina","GPE",2,2,"45956450"
"text1","North Carolina","GPE",7,2,"45956454"
"text1","South Carolina","GPE",2,2,"45956439"
"text1","North Carolina","GPE",7,2,"45956440"
"text1","North Carolina","GPE",7,2,"45956365"
"text1","South Carolina","GPE",2,2,"45956433"
"text1","South Carolina","GPE",2,2,"45956415"
"text1","South Carolina","GPE",2,2,"45956106"
"text1","South Carolina","GPE",2,2,"45954518"
"text1","South Carolina","GPE",2,2,"45954513"
"text1","South Carolina","GPE",2,2,"45954509"
"text1","South Carolina","GPE",2,2,"45954511"
"text1","South Carolina","GPE",2,2,"45954514"
"text1","South Carolina","GPE",2,2,"45954517"
"text1","Texas","GPE",2,1,"45954520"
"text1","South Carolina","GPE",2,2,"45954510"
"text1","the United States","GPE",6,3,"45952562"
"text1","Kentucky","GPE",2,1,"45947306"
"text1","Puerto Rico","GPE",2,2,"45946569"
"text1","Puerto Rico","GPE",2,2,"45946549"
"text1","Virginia","GPE",2,1,"45945695"
"text1","Virginia","GPE",2,1,"45945648"
"text1","Brooklyn","GPE",7,1,"45944104"
"text1","NY","GPE",9,1,"45944104"
"text1","LA","GPE",11,1,"45942254"
"text1","LA","GPE",11,1,"45942252"
"text1","LA","GPE",11,1,"45942242"
"text1","LA","GPE",11,1,"45942226"
"text1","LA","GPE",11,1,"45942211"
"text1","LA","GPE",11,1,"45942135"
"text1","LA","GPE",11,1,"45942085"
"text1","LA","GPE",11,1,"45942076"
"text1","LA","GPE",11,1,"45939892"
"text1","Texas","GPE",13,1,"45941223"
"text1","Texas","GPE",13,1,"45940955"
"text1","South Carolina","GPE",2,2,"45940588"
"text1","North","GPE",8,1,"45940588"
"text1","LA","GPE",11,1,"45939885"
"text1","LA","GPE",11,1,"45939880"
"text1","LA","GPE",11,1,"45939876"
"text1","LA","GPE",11,1,"45939108"
"text1","LA","GPE",11,1,"45933015"
"text1","KY","GPE",5,1,"45939569"
"text1","Texas","GPE",3,1,"45938756"
"text1","Baltimore","GPE",2,1,"45938685"
"text1","the United States","GPE",6,3,"45937325"
"text1","the United States","GPE",6,3,"45937292"
"text1","the United States","GPE",6,3,"45936523"
"text1","LA","GPE",11,1,"45931754"
"text1","LA","GPE",11,1,"45931235"
"text1","LA","GPE",11,1,"45930773"
"text1","LA","GPE",11,1,"45930704"
"text1","LA","GPE",11,1,"45930620"
"text1","LA","GPE",11,1,"45930603"
"text1","LA","GPE",11,1,"45927499"
"text1","LA","GPE",11,1,"45927275"
"text1","Parvo","GPE",8,1,"45926551"
"text1","LA","GPE",11,1,"45926551"
"text1","LA","GPE",11,1,"45926453"
"text1","LA","GPE",11,1,"45926057"
"text1","Puerto Rico","GPE",2,2,"45925757"
"text1","Arkansas","GPE",6,1,"45925079"
"text1","Arkansas","GPE",6,1,"45925082"
"text1","Arkansas","GPE",6,1,"45925080"
"text1","North Carolina","GPE",7,2,"45923623"
"text1","North Carolina","GPE",7,2,"45923621"
"text1","North Carolina","GPE",7,2,"45923616"
"text1","North Carolina","GPE",7,2,"45923605"
"text1","North Carolina","GPE",7,2,"45923597"
"text1","North Carolina","GPE",7,2,"45923567"
"text1","North Carolina","GPE",7,2,"45923542"
"text1","North Carolina","GPE",7,2,"45923519"
"text1","North Carolina","GPE",7,2,"45923491"
"text1","Puerto Rico","GPE",2,2,"45923413"
"text1","Puerto Rico","GPE",2,2,"45923311"
"text1","Puerto Rico","GPE",2,2,"45923305"
"text1","Puerto Rico","GPE",2,2,"45923294"
"text1","Alabama","GPE",3,1,"45923207"
"text1","Alabama","GPE",3,1,"45922934"
"text1","the United States","GPE",6,3,"45922857"
"text1","the United States","GPE",6,3,"45921954"
"text1","the United States","GPE",6,3,"45921408"
"text1","the United States","GPE",6,3,"45921407"
"text1","the United States","GPE",6,3,"45920824"
"text1","Arroyo","GPE",5,1,"45920603"
"text1","South Carolina","GPE",2,2,"45919138"
"text1","North Carolina","GPE",7,2,"45917671"
"text1","Sat","GPE",4,1,"45910156"
"text1","Tennessee","GPE",2,1,"45906648"
"text1","Bridgewater","GPE",2,1,"45905681"
"text1","Wayne","GPE",7,1,"45905681"
"text1","Bridgewater","GPE",2,1,"45905659"
"text1","Wayne","GPE",7,1,"45905659"
"text1","Bridgewater","GPE",2,1,"45905644"
"text1","Wayne","GPE",7,1,"45905644"
"text1","Thailand","GPE",2,1,"45905526"
"text1","the United States","GPE",6,3,"45903459"
"text1","Texas","GPE",2,1,"45899954"
"text1","Texas","GPE",2,1,"45899728"
"text1","Tennessee","GPE",6,1,"45892063"
"text1","Bahamas","GPE",3,1,"45889172"
"text1","South Carolina","GPE",2,2,"45883034"
"text1","South Carolina","GPE",2,2,"45882824"
"text1","Texas","GPE",7,1,"45882029"
